1.99998,-2.67731e-05,1.00374,-0.00439998,0.0579114,0.000640002,-0.0258222,-0.0338532,0.00391805,-0.129649,0.0117354,0.00295716,0.0472818,-0.0318856,0.607376,0.0091048,-1.14849,-1.14551,-0.0794908,-0.660812
2.00017,1.37738e-05,1.00437,-0.00478215,0.0654724,0.000736094,-0.0375537,-0.0463913,0.00283816,-0.136485,0.0180202,0.00374462,0.0545176,-0.0315812,0.63914,0.0102874,-0.921409,-0.931533,-0.10111,-0.497309
2.00042,6.43337e-05,1.00497,-0.00514453,0.0733761,0.000779865,-0.0468299,-0.0543429,0.00114797,-0.141378,0.0245641,0.00461948,0.0459013,-0.0292543,0.655157,0.00856555,-0.698747,-0.702192,-0.13888,-0.343074
2.00077,0.000126188,1.00555,-0.00548222,0.0813981,0.000890036,-0.0539193,-0.0613641,-0.000546293,-0.144361,0.0335429,0.00562444,0.0524178,-0.0283416,0.686716,0.0138051,-0.619573,-0.600925,-0.143629,-0.176444
2.00124,0.000200526,1.00622,-0.00580585,0.0898253,0.00105772,-0.0606111,-0.0679848,-0.00229916,-0.145378,0.0438724,0.0066813,0.0582934,-0.0265071,0.712186,0.0191723,-0.541155,-0.499055,-0.147898,-0.0111676
2.00184,0.000287899,1.00697,-0.00609699,0.0984797,0.0012706,-0.067306,-0.0758161,-0.00410698,-0.14462,0.0557591,0.00779967,0.0656034,-0.0240331,0.732006,0.0189323,-0.486051,-0.672128,-0.155129,0.133524
2.0026,0.000388863,1.00777,-0.00635369,0.107435,0.00156309,-0.0743383,-0.0828858,-0.0059303,-0.141971,0.0686012,0.00893136,0.0677991,-0.0205123,0.749293,0.029594,-0.601138,-0.628087,-0.150079,0.285447
2.00351,0.000503788,1.00863,-0.00655342,0.116421,0.00193139,-0.0813607,-0.090575,-0.00775355,-0.137527,0.083698,0.0101436,0.0771045,-0.0166938,0.767083,0.0324257,-0.481637,-0.633933,-0.157824,0.453967
2.00462,0.000633261,1.00957,-0.00670827,0.125744,0.00239419,-0.0885948,-0.0975498,-0.00953555,-0.131053,0.0992799,0.0113241,0.0775737,-0.0111417,0.761395,0.0444367,-0.620372,-0.558061,-0.142323,0.596756
2.00592,0.000776973,1.01053,-0.0067918,0.13496,0.00295121,-0.095372,-0.104236,-0.0111961,-0.122794,0.116798,0.0125311,0.0814578,-0.00688686,0.771677,0.0490239,-0.539034,-0.617346,-0.134972,0.760806
2.00745,0.000935163,1.01153,-0.00681652,0.144301,0.00361083,-0.10226,-0.111018,-0.0126006,-0.112579,0.135562,0.0137044,0.0832666,-0.00331307,0.785721,0.0605359,-0.702706,-0.690033,-0.0859312,0.909165
2.0092,0.00110658,1.01251,-0.0067695,0.15343,0.00437859,-0.109588,-0.11793,-0.0135981,-0.100727,0.155484,0.0147917,0.0831723,0.00385385,0.750139,0.0658912,-0.54958,-0.494732,-0.0816673,1.06307
