0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-0.006,-0.006,-0.006
0.426318,0.288892,-0.0837393,-0.0474866,-0.00225769,0.00375346,0.000594912,0.0884626,0.00044164,-1.00011,-0.999722,-0.970402,2.64984e-06,-0.0180007,-0.0179983,-0.0178224
0.75045,0.600736,-0.149084,-0.113064,-0.00625227,0.00593459,0.00164294,0.122553,0.000379758,-1.00005,-0.999706,-0.969067,7.57823e-06,-0.0300016,-0.0299949,-0.0294592
1.00256,0.849393,-0.205401,-0.170999,-0.00730526,0.00911649,0.00281144,0.154675,0.000293229,-0.999954,-0.999677,-0.96734,1.16162e-05,-0.0420017,-0.0419912,-0.0410777
1.18639,1.04132,-0.253885,-0.21879,-0.00558368,0.0136646,0.00423054,0.185606,0.00021679,-0.999816,-0.999634,-0.965426,1.46763e-05,-0.0540003,-0.0539871,-0.0526743
1.31123,1.18172,-0.295211,-0.256158,-0.0015988,0.0196604,0.00596946,0.215433,0.000176695,-0.999613,-0.999572,-0.963149,1.70372e-05,-0.0659969,-0.0659823,-0.0642457
1.38686,1.27522,-0.329967,-0.283613,0.00410091,0.0270565,0.00807311,0.244167,0.000199334,-0.99932,-0.999484,-0.960334,1.92934e-05,-0.0779905,-0.0779767,-0.0757866
1.41803,1.32402,-0.358843,-0.300031,0.0111963,0.0360432,0.0106657,0.272373,0.000301494,-0.998925,-0.999367,-0.957179,2.22983e-05,-0.0899799,-0.0899698,-0.0872917
1.40831,1.32961,-0.382413,-0.30424,0.0192981,0.0467849,0.0138758,0.300555,0.000491558,-0.998422,-0.999218,-0.953871,2.70566e-05,-0.101964,-0.101961,-0.098758
1.3653,1.29726,-0.401074,-0.297852,0.0278761,0.0590809,0.0177059,0.328522,0.000782414,-0.99778,-0.999026,-0.950226,3.47005e-05,-0.113941,-0.113951,-0.110183
1.29341,1.23141,-0.415255,-0.281493,0.0365615,0.0728602,0.0222052,0.356341,0.00117729,-0.996981,-0.998785,-0.946246,4.64587e-05,-0.12591,-0.125938,-0.121561
1.1964,1.13691,-0.425342,-0.255986,0.0450548,0.0880275,0.0274118,0.384031,0.00167546,-0.996007,-0.998484,-0.941933,6.35752e-05,-0.137868,-0.137921,-0.13289
1.07989,1.0212,-0.431632,-0.223699,0.0531412,0.104328,0.0332758,0.411228,0.00227847,-0.994821,-0.998109,-0.937108,8.72988e-05,-0.149813,-0.149901,-0.144165
0.944679,0.887243,-0.434542,-0.184213,0.0606507,0.12177,0.0398982,0.438229,0.00297431,-0.993431,-0.997657,-0.931957,0.000118815,-0.161742,-0.161875,-0.155379
0.792264,0.738976,-0.434288,-0.137849,0.0674767,0.140328,0.047362,0.465227,0.00375128,-0.991847,-0.997129,-0.926666,0.000159169,-0.173654,-0.173844,-0.166531
0.605812,0.567032,-0.431366,-0.083923,0.0736465,0.160719,0.0559714,0.49909,0.00460626,-0.990026,-0.996503,-0.920988,0.000209314,-0.185545,-0.185806,-0.177617
0.423797,0.401087,-0.425447,-0.0286649,0.078845,0.181284,0.0651576,0.528468,0.00552879,-0.98796,-0.99577,-0.91494,0.000270124,-0.197413,-0.19776,-0.188632
